timestamp,temperature,humidity,CO2CosIRValue,CO2MG811Value,MOX1,MOX2,MOX3,MOX4,COValue,anomaly,threshold_warning,threshold_danger,flag_warning,flag_danger,critical_alert
2020-01-25 00:00:00+01:00,20.4202857142857,56.0592571428572,121.702857142857,495.708571428571,523.822857142857,695.771428571429,653.485714285714,593.382857142857,131.342857142857,0,9,35,True,True,False
2020-01-25 01:00:00+01:00,19.5649444444444,51.4538333333333,95.8666666666667,500.422222222222,540.333333333333,715.75,675.511111111111,617.005555555556,121.2,0,9,35,True,True,False
2020-01-25 02:00:00+01:00,18.7983888888889,49.2587777777778,65.7944444444445,507.422222222222,564.072222222222,741.138888888889,705.022222222222,653.416666666667,103.733333333333,0,9,35,True,True,False
2020-01-25 03:00:00+01:00,18.4698888888889,48.5458333333333,61.8166666666667,508.922222222222,572.755555555556,749.822222222222,715.377777777778,665.538888888889,93.7055555555556,0,9,35,True,True,False
2020-01-25 04:00:00+01:00,18.0355555555556,48.6369444444444,61.9833333333333,509.244444444444,577.661111111111,753.855555555556,720.383333333333,670.338888888889,90.5222222222222,0,9,35,True,True,False
2020-01-25 05:00:00+01:00,17.8617777777778,48.1079444444445,61.6833333333333,509.644444444444,581.633333333333,757.983333333333,725,677.827777777778,87.6388888888889,0,9,35,True,True,False
2020-01-25 06:00:00+01:00,17.5772777777778,47.7893888888889,62.2166666666667,509.705555555556,584.85,761.316666666667,728.633333333333,683.1,86.1944444444444,0,9,35,True,True,False
2020-01-25 07:00:00+01:00,17.3210555555556,47.2611666666667,62.2055555555556,509.727777777778,587.944444444445,764.45,732.322222222222,687.622222222222,85.1055555555556,0,9,35,True,True,False
2020-01-25 08:00:00+01:00,16.9731666666667,47.8025555555556,60.8777777777778,510.338888888889,591.1,764.455555555556,732.238888888889,688.316666666667,83.4722222222222,0,9,35,True,True,False
2020-01-25 09:00:00+01:00,16.7242222222222,48.5143333333333,61.45,510.85,593.616666666667,762.95,730.872222222222,686.5,83.6277777777778,0,9,35,True,True,False
2020-01-25 10:00:00+01:00,16.4516666666667,49.8447777777778,60.6388888888889,511.155555555556,596.094444444444,761.761111111111,729.816666666667,684.472222222222,83.2722222222222,0,9,35,True,True,False
2020-01-25 11:00:00+01:00,16.2752222222222,51.4494444444444,61.7944444444444,510.838888888889,596.405555555556,757.205555555556,725.011111111111,676.883333333333,85.8888888888889,0,9,35,True,True,False
2020-01-25 12:00:00+01:00,16.0836111111111,52.8005,61.3833333333333,510.483333333333,596.477777777778,753.383333333333,720.611111111111,670.288888888889,94.7611111111111,0,9,35,True,True,False
2020-01-25 13:00:00+01:00,16.0891111111111,53.761,61.7833333333333,510.811111111111,590.827777777778,747.588888888889,714.811111111111,661.516666666667,97.3388888888889,0,9,35,True,True,False
